"Name"	"Score"	"freq_up"
"RP11-295P9.12"	"RP11-295P9.12"	0.0069041178433795	3
"AC078917.1"	"AC078917.1"	0.0069041178433795	3
"U91328.22"	"U91328.22"	0.00733999711162975	3
"RP11-335O4.3"	"RP11-335O4.3"	0.00742767471366132	2
"RP11-130L8.2"	"RP11-130L8.2"	0.0074435378750918	3
"KB-1991G8.1"	"KB-1991G8.1"	0.0075346352853804	3
"CTD-2547L24.4"	"CTD-2547L24.4"	0.00775080295105472	2
"LRCOL1"	"LRCOL1"	0.00775080295105472	2
"AC019117.2"	"AC019117.2"	0.00864537819408057	2
"RP11-315O6.1"	"RP11-315O6.1"	0.00899692598284987	3
"LRRC71"	"LRRC71"	0.00931537219590141	3
"IGFL2"	"IGFL2"	0.00983068189661051	2
"XXbac-B476C20.13"	"XXbac-B476C20.13"	0.00983068189661051	2
"SLC26A9"	"SLC26A9"	0.00997463118801183	3
"RP11-159D12.11"	"RP11-159D12.11"	0.0100591615129977	3
"AP000240.9"	"AP000240.9"	0.0101441680639106	3
"RNU4-39P"	"RNU4-39P"	0.0101441680639106	3
"DMRTA2"	"DMRTA2"	0.0102007623651325	3
"AC097713.4"	"AC097713.4"	0.0102007623651325	2
"RNA5SP283"	"RNA5SP283"	0.0107045790743451	2
"CTD-3214K23.1"	"CTD-3214K23.1"	0.0108861404040781	3
"CCR1"	"CCR1"	0.01093087791153	3
"TFAP2A-AS1"	"TFAP2A-AS1"	0.0110207202959426	3
"HYAL4"	"HYAL4"	0.0113373803830778	1
"RP11-167N5.5"	"RP11-167N5.5"	0.011663438240419	3
"SERPINF1"	"SERPINF1"	0.0117572456069875	3
"CCR3"	"CCR3"	0.0120158686133924	3
"HOXA-AS2"	"HOXA-AS2"	0.0120895306032445	3
"A1BG"	"A1BG"	0.0121375048751865	3
"AC004854.4"	"AC004854.4"	0.0124236339698817	2
"RANBP3L"	"RANBP3L"	0.0128380195021695	2
"TRPM5"	"TRPM5"	0.013117949940094	3
"MIR27B"	"MIR27B"	0.0131745009607175	3
"RP11-401P9.6"	"RP11-401P9.6"	0.013259016180691	2
"HOXC-AS3"	"HOXC-AS3"	0.0135328553133353	3
"CXCR4"	"CXCR4"	0.0138306134839841	3
"RP11-46F15.2"	"RP11-46F15.2"	0.0139502923089552	3
"IFNWP2"	"IFNWP2"	0.0140030676338518	3
"ZSCAN5D"	"ZSCAN5D"	0.014120806858177	2
"RP11-422P24.10"	"RP11-422P24.10"	0.014120806858177	2
"RP11-102G14.1"	"RP11-102G14.1"	0.0143762264593166	3
"RNU6-118P"	"RNU6-118P"	0.0145381599122887	3
"FASLG"	"FASLG"	0.0145615827980121	2
"RASSF9"	"RASSF9"	0.0151101499180359	2
"RP11-180I4.2"	"RP11-180I4.2"	0.0151101499180359	1
"FGF9"	"FGF9"	0.0151980535378734	3
"CTSLP2"	"CTSLP2"	0.0154628507320437	2
"RP11-173M1.4"	"RP11-173M1.4"	0.0162339455919147	2
"C1GALT1P1"	"C1GALT1P1"	0.0163903465414594	3
"MYBPH"	"MYBPH"	0.0165474740365281	2
"MIR4768"	"MIR4768"	0.0168639073255247	2
"RP11-435I10.3"	"RP11-435I10.3"	0.0169945377861502	3
"RP1-283K11.3"	"RP1-283K11.3"	0.0169953434518409	2
"RP11-380O24.1"	"RP11-380O24.1"	0.0171755431845401	3
"RP11-534L20.4"	"RP11-534L20.4"	0.0173578292761795	3
"LRRC36"	"LRRC36"	0.0175054777349607	3
"AC005152.3"	"AC005152.3"	0.0178306095045472	2
"RP11-651L5.3"	"RP11-651L5.3"	0.0180372416155479	3
"RP13-638C3.5"	"RP13-638C3.5"	0.0182255639711399	3
"C11orf96"	"C11orf96"	0.0183518376389643	3
"COL6A3"	"COL6A3"	0.018489552796324	2
"RP5-1198O20.4"	"RP5-1198O20.4"	0.0185423396311286	3
"BMPER"	"BMPER"	0.0188233589676613	3
"C15orf56"	"C15orf56"	0.0192521215734038	3
"CTD-3224K15.3"	"CTD-3224K15.3"	0.0196704953027465	2
"RP13-20L14.4"	"RP13-20L14.4"	0.0197795480301633	3
"RP11-380L11.4"	"RP11-380L11.4"	0.01984208347835	3
"ZNF602P"	"ZNF602P"	0.0203611638026233	2
"AC002064.4"	"AC002064.4"	0.0205356280617743	2
"RP11-503P10.1"	"RP11-503P10.1"	0.0205886130732272	3
"RP11-1055B8.1"	"RP11-1055B8.1"	0.0212406636022562	2
"RBM22P2"	"RBM22P2"	0.0212794494561203	3
"GAPDHP52"	"GAPDHP52"	0.021489673020713	3
"RP11-107N15.1"	"RP11-107N15.1"	0.0219571686963832	2
