"Name"	"Score"	"freq_dw"
"SLC7A5P1"	"SLC7A5P1"	0.0323986219768111	5
"SMG1P3"	"SMG1P3"	0.0323986219768111	4
"IPPK"	"IPPK"	0.0335779429562097	1
"STEAP3-AS1"	"STEAP3-AS1"	0.0344516597461639	1
"RP11-57H14.3"	"RP11-57H14.3"	0.0347771840504228	1
"CAPN13"	"CAPN13"	0.0359718122657947	2
"ARL2BP"	"ARL2BP"	0.0359962853229062	1
"ARMC4"	"ARMC4"	0.036190569269451	1
"RP11-506K6.4"	"RP11-506K6.4"	0.0375331291193476	1
"CTD-2021J15.1"	"CTD-2021J15.1"	0.0375331291193476	1
"PITPNC1"	"PITPNC1"	0.0377412885656944	1
"RP11-818F20.5"	"RP11-818F20.5"	0.0392650019338051	3
"AC009502.4"	"AC009502.4"	0.0396795818563292	1
"AC004069.2"	"AC004069.2"	0.0413500928339449	1
"GRIN3A"	"GRIN3A"	0.0413500928339449	4
"SCG2"	"SCG2"	0.0413500928339449	1
"SDC1"	"SDC1"	0.0413500928339449	1
"NKX1-2"	"NKX1-2"	0.0413500928339449	1
"NR2F1"	"NR2F1"	0.0418028571036674	4
"PRKACB"	"PRKACB"	0.0418028571036674	1
"COL24A1"	"COL24A1"	0.0430540225318512	3
"RP11-1100L3.8"	"RP11-1100L3.8"	0.043616286540141	1
"F5"	"F5"	0.0446446627626422	2
"USP2-AS1"	"USP2-AS1"	0.0450810665001951	1
"RP11-49K24.8"	"RP11-49K24.8"	0.0459704151735084	1
"ITGBL1"	"ITGBL1"	0.0460038095547199	1
"CTD-2561B21.11"	"CTD-2561B21.11"	0.0464569040170253	1
"JUNB"	"JUNB"	0.0464569040170253	2
"CYP51A1"	"CYP51A1"	0.0472989885459207	1
"FASN"	"FASN"	0.0478520669784173	1
"CHST4"	"CHST4"	0.0492380158780908	2
"AKAP12"	"AKAP12"	0.0492380158780908	3
"TESC"	"TESC"	0.0504277071248458	2
"ILDR2"	"ILDR2"	0.0508598567076374	1
"RP5-1158E12.3"	"RP5-1158E12.3"	0.0509108404686418	1
"OR51Q1"	"OR51Q1"	0.0532743830846835	1
"CYP24A1"	"CYP24A1"	0.053891281829231	1
"RP11-248J18.2"	"RP11-248J18.2"	0.0550868480057893	4
"TONSL-AS1"	"TONSL-AS1"	0.0550868480057893	7
"RP11-380B4.3"	"RP11-380B4.3"	0.0550868480057893	2
"TMEM97"	"TMEM97"	0.0550868480057893	2
"HSPA8"	"HSPA8"	0.0550868480057893	6
"TMEM109"	"TMEM109"	0.0550868480057893	1
"AC067956.1"	"AC067956.1"	0.0554918457063361	2
"GRIK4"	"GRIK4"	0.0566255881764582	1
"HELLPAR"	"HELLPAR"	0.0581543859642365	1
"CLOCK"	"CLOCK"	0.0597020409235589	3
"RP11-416I2.1"	"RP11-416I2.1"	0.0612684949833271	1
"NPM1P6"	"NPM1P6"	0.0617426989448883	1
"PHLDB2"	"PHLDB2"	0.0620522498990579	2
"IL1RAPL1"	"IL1RAPL1"	0.0624626372959594	1
"FTCDNL1"	"FTCDNL1"	0.0628536901749401	1
"NR4A3"	"NR4A3"	0.0628536901749401	2
"AC009487.6"	"AC009487.6"	0.0639178892982048	1
"OR51A10P"	"OR51A10P"	0.064867345458654	2
"OR51I2"	"OR51I2"	0.0653449783293828	3
"RP1-68D18.2"	"RP1-68D18.2"	0.0658250424622893	1
"SRGAP2D"	"SRGAP2D"	0.066080072591063	1
"FAM157B"	"FAM157B"	0.0661393713468713	4
"GPR15"	"GPR15"	0.0667924898069198	4
"RNU6-282P"	"RNU6-282P"	0.067030747886947	1
"ARFGEF3"	"ARFGEF3"	0.0688003533866178	1
"TXNDC5"	"TXNDC5"	0.0688003533866178	2
"THEM6"	"THEM6"	0.0688003533866178	1
"TOMM7"	"TOMM7"	0.0688003533866178	1
"ACTG1P3"	"ACTG1P3"	0.0688003533866178	2
"MMP7"	"MMP7"	0.0707607918534809	1
"SQLE"	"SQLE"	0.0710587613693775	1
"SAMD13"	"SAMD13"	0.0715044970059633	1
"ZNF804A"	"ZNF804A"	0.0722918609414395	1
"PACSIN1"	"PACSIN1"	0.0743642225430824	1
"FAM222A-AS1"	"FAM222A-AS1"	0.0746855566163027	1
"ABALON"	"ABALON"	0.0771268704092013	1
"HMGB1P14"	"HMGB1P14"	0.0771268704092013	1
"ADAM28"	"ADAM28"	0.0771603720377412	3
"RP11-90B9.2"	"RP11-90B9.2"	0.0779542835957439	4
