"Name" "Score" "freq_dw"
"RP11-1105G2.3" "RP11-1105G2.3" 0.0165237139940004 NA
"CTD-3088G3.8" "CTD-3088G3.8" 0.0167665935520388 2
"RP11-1099M24.6" "RP11-1099M24.6" 0.0171143047133713 NA
"LIME1" "LIME1" 0.0172350399639116 NA
"RP11-395I14.2" "RP11-395I14.2" 0.0174273630984816 NA
"NEK1" "NEK1" 0.0174765381144554 NA
"ZC2HC1A" "ZC2HC1A" 0.0177936852931633 NA
"RP3-468K18.6" "RP3-468K18.6" 0.0177936852931633 NA
"RNF207" "RNF207" 0.018134299169664 NA
"RP11-803D5.1" "RP11-803D5.1" 0.0182995970740745 NA
"TMEM204" "TMEM204" 0.0183345458856224 NA
"RP11-603J24.5" "RP11-603J24.5" 0.0190101758692899 NA
"RP11-250B2.5" "RP11-250B2.5" 0.019069960529117 NA
"RP1-202O8.2" "RP1-202O8.2" 0.0198794506317717 NA
"RP11-87H9.4" "RP11-87H9.4" 0.0199476671546163 NA
"DIO3OS" "DIO3OS" 0.0199476671546163 1
"FLRT1" "FLRT1" 0.0201534882653263 3
"ANXA1" "ANXA1" 0.0204440055234702 1
"RP11-54O7.18" "RP11-54O7.18" 0.0205704426758355 NA
"NDC80" "NDC80" 0.020575505445532 NA
"RP11-297P16.3" "RP11-297P16.3" 0.0208668868364396 NA
"MMP23B" "MMP23B" 0.0209233730089671 NA
"CNIH2" "CNIH2" 0.0209402138490228 2
"LINC01572" "LINC01572" 0.0209945610557577 NA
"UCKL1-AS1" "UCKL1-AS1" 0.0210659508253977 NA
"SAPCD1" "SAPCD1" 0.0211473789674734 NA
"REC8" "REC8" 0.0211672521795889 NA
"CA3" "CA3" 0.0213535362847488 1
"RP11-203J24.9" "RP11-203J24.9" 0.021430789023586 NA
"CHD9" "CHD9" 0.021525911125261 1
"CTB-75G16.1" "CTB-75G16.1" 0.0220868458542156 1
"PAN2" "PAN2" 0.0221035456587323 NA
"ABCB6" "ABCB6" 0.0222987387534219 1
"AC009487.6" "AC009487.6" 0.0227925746629869 1
"RP11-264B17.3" "RP11-264B17.3" 0.0228923516164021 NA
"ZBTB26" "ZBTB26" 0.0229398009588465 NA
"U47924.27" "U47924.27" 0.0229398009588465 NA
"RP11-599J14.2" "RP11-599J14.2" 0.0231486408005101 NA
"STAG3L5P" "STAG3L5P" 0.0236003118892557 NA
"RP11-98I9.4" "RP11-98I9.4" 0.0237754237391086 NA
"SNORA46" "SNORA46" 0.0237754237391086 NA
"SNORA55" "SNORA55" 0.0237754237391086 NA
"LHB" "LHB" 0.0237754237391086 NA
"PER3" "PER3" 0.0237754237391086 NA
"NR4A1" "NR4A1" 0.0237754237391086 NA
"FAR2P1" "FAR2P1" 0.0239328256981245 1
"DST" "DST" 0.0240922887069115 1
"CACTIN-AS1" "CACTIN-AS1" 0.0241679123600688 1
"PYROXD2" "PYROXD2" 0.0241679123600688 NA
"AC025165.8" "AC025165.8" 0.0242077597266016 3
"PI4KAP1" "PI4KAP1" 0.0242205436515375 NA
"MYBL1" "MYBL1" 0.0242526361447181 NA
"LCORL" "LCORL" 0.0244138719314428 NA
"FAM132A" "FAM132A" 0.0247469918169863 2
"SNHG12" "SNHG12" 0.0247934088289032 NA
"PDE6C" "PDE6C" 0.025013805721065 NA
"KIFC2" "KIFC2" 0.025390388081028 NA
"AP003068.18" "AP003068.18" 0.0254265134135603 1
"DENND4A" "DENND4A" 0.0254265134135603 1
"ANKDD1A" "ANKDD1A" 0.0254265134135603 1
"RP11-135N5.3" "RP11-135N5.3" 0.0258208024423357 NA
"HERC2P2" "HERC2P2" 0.0259906755488757 5
"YJEFN3" "YJEFN3" 0.0260466700976478 NA
"ABCA5" "ABCA5" 0.0263332167308524 3
"LA16c-361A3.3" "LA16c-361A3.3" 0.0267154898291666 NA
"GNB3" "GNB3" 0.0270556446734247 5
"RP5-1142A6.10" "RP5-1142A6.10" 0.0273713331460821 NA
"IZUMO1" "IZUMO1" 0.0275618883406264 NA
"RP11-455O6.5" "RP11-455O6.5" 0.0276514476088682 NA
"NCLP1" "NCLP1" 0.0277449246537515 NA
"ANO9" "ANO9" 0.0281028901443809 4
"ABCA7" "ABCA7" 0.028111998522771 3
"LRRIQ1" "LRRIQ1" 0.0282851785421555 NA
"MFI2-AS1" "MFI2-AS1" 0.0284425472197577 NA
"ATHL1" "ATHL1" 0.0284477205308347 1
"EID3" "EID3" 0.0284684512158647 1
"WDR19" "WDR19" 0.0287056588226232 NA
"CARD9" "CARD9" 0.0291119409614907 1
