"Name" "Score" "freq_up"
"RP5-1198O20.4" "RP5-1198O20.4" 0.0317081552423138 4
"CCL28" "CCL28" 0.0323942929220588 3
"FAM83A" "FAM83A" 0.03387415319984 4
"P3H2" "P3H2" 0.034275044350242 3
"KRT6A" "KRT6A" 0.034275044350242 3
"AL353644.11" "AL353644.11" 0.0343648125100468 4
"ITGB3" "ITGB3" 0.0348604984666172 4
"CDK5R2" "CDK5R2" 0.0356628342709036 5
"MIR4324" "MIR4324" 0.0364985340850053 3
"CCDC87" "CCDC87" 0.0401001853242973 4
"RCAN2" "RCAN2" 0.0402162884529962 4
"SPOCK1" "SPOCK1" 0.0408173237477103 3
"TENM2" "TENM2" 0.0411192033619093 1
"FGF3" "FGF3" 0.0454411394568418 3
"TMIE" "TMIE" 0.0473776743880619 4
"SUCLG2-AS1" "SUCLG2-AS1" 0.0496074452716612 4
"RP11-326C3.11" "RP11-326C3.11" 0.0514023305471478 3
"OLFM2" "OLFM2" 0.0528777911655217 4
"MT-TN" "MT-TN" 0.0535495997103953 4
"AC018755.16" "AC018755.16" 0.0557918817752524 5
"LHX6" "LHX6" 0.0579149602570516 5
"DNAH10OS" "DNAH10OS" 0.0591417746977297 4
"RGL1" "RGL1" 0.0600698282300356 4
"RHPN1-AS1" "RHPN1-AS1" 0.0606183374722973 5
"SPATC1L" "SPATC1L" 0.0615905749815381 1
"KIAA0226L" "KIAA0226L" 0.0635368314250109 3
"JAKMIP2-AS1" "JAKMIP2-AS1" 0.0657438877954677 2
"RP11-620J15.3" "RP11-620J15.3" 0.0674829437073866 5
"KRT6C" "KRT6C" 0.0683467576038351 3
"SNTB1" "SNTB1" 0.0683489978515048 2
"KRT14" "KRT14" 0.0710004757309296 2
"SYT11" "SYT11" 0.0720962668517597 3
"SPRY1" "SPRY1" 0.0746642640498904 3
"RP11-1149O23.2" "RP11-1149O23.2" 0.0759688913793185 3
"FOXQ1" "FOXQ1" 0.0772873285261098 4
"TMX4" "TMX4" 0.0792307528409977 4
"LINC01124" "LINC01124" 0.081939929023483 4
"PKIB" "PKIB" 0.0820033062232828 2
"DBH" "DBH" 0.0828520176324466 4
"SSC4D" "SSC4D" 0.0840881302958255 4
"OLFM1" "OLFM1" 0.0854903012232536 4
"ABCG1" "ABCG1" 0.0856305771760508 4
"GNG4" "GNG4" 0.087518472792131 4
"POU3F1" "POU3F1" 0.087518472792131 4
"APOL3" "APOL3" 0.090839320776936 2
"KLHDC9" "KLHDC9" 0.0942007256463409 3
"TMEM158" "TMEM158" 0.0943533847151311 4
"RAB11FIP4" "RAB11FIP4" 0.095359028370962 4
"SHROOM2" "SHROOM2" 0.095359028370962 4
"NRG1" "NRG1" 0.102357531544797 1
"LINC00698" "LINC00698" 0.102357531544797 1
"A2M" "A2M" 0.102357531544797 1
"PCDHGB2" "PCDHGB2" 0.106349395631123 3
"KIF26B" "KIF26B" 0.106618145591714 3
"IGFBP5" "IGFBP5" 0.106618145591714 3
"PLAT" "PLAT" 0.106914779688281 4
"BTD" "BTD" 0.106914779688281 4
"AC007773.2" "AC007773.2" 0.107846939722931 5
"RP11-432J24.3" "RP11-432J24.3" 0.109582351731687 2
"GNAZ" "GNAZ" 0.111345594877234 4
"PCDHB14" "PCDHB14" 0.112472716951044 4
"CTC-523E23.4" "CTC-523E23.4" 0.113176298185735 3
"NTNG2" "NTNG2" 0.114750449398896 4
"WWC3" "WWC3" 0.120583030787602 4
"SOX4" "SOX4" 0.121705767984955 3
"DUSP19" "DUSP19" 0.122971916481338 4
"PLEKHG4B" "PLEKHG4B" 0.123456207475733 4
"RP11-210M15.2" "RP11-210M15.2" 0.125221564705625 3
"FOXC1" "FOXC1" 0.127001868504688 4
"HAS2" "HAS2" 0.129877505664323 2
"MRC2" "MRC2" 0.1303327874017 4
"BATF2" "BATF2" 0.130607429045027 3
"RP11-299H21.1" "RP11-299H21.1" 0.131588194341722 4
"SOWAHA" "SOWAHA" 0.133407489903748 4
"IL17RD" "IL17RD" 0.13427311141331 4
"LPP-AS2" "LPP-AS2" 0.136128565946814 4
"IGFL1" "IGFL1" 0.136979005792308 2
"APOC1" "APOC1" 0.13988483344066 4
"SPCS2P4" "SPCS2P4" 0.141785697864298 5
"ACSL5" "ACSL5" 0.142891001101221 1
"ARL4C" "ARL4C" 0.147940512862145 3
"ANKFN1" "ANKFN1" 0.151675927965383 2
"GPRIN2" "GPRIN2" 0.152812478297061 4
"TNFRSF9" "TNFRSF9" 0.153510670994773 3
"LINC01534" "LINC01534" 0.155618970621024 5
"DGAT2" "DGAT2" 0.157035240879648 4
"ELF5" "ELF5" 0.159267801104749 3
"NEO1" "NEO1" 0.162787719949141 5
"KRT17" "KRT17" 0.16307051309571 3
"SHH" "SHH" 0.16307051309571 1
"LINC01348" "LINC01348" 0.163123819243392 2
"C2orf81" "C2orf81" 0.168681200755297 4
"WWC2-AS2" "WWC2-AS2" 0.170220720726765 5
"HLA-DPA1" "HLA-DPA1" 0.178943332215267 3
"CERKL" "CERKL" 0.178943332215267 2
"KRT75" "KRT75" 0.182995983127149 4
"HOXA3" "HOXA3" 0.183022819724257 3
"ILDR2" "ILDR2" 0.183192054689657 2
"FAM50B" "FAM50B" 0.183192054689657 1
"SERTAD4" "SERTAD4" 0.187087310276897 2
"OSR1" "OSR1" 0.187487363001409 3
"RP11-206P5.2" "RP11-206P5.2" 0.191217098319092 2
"TSPAN6" "TSPAN6" 0.192014464669201 3
"HOXA7" "HOXA7" 0.195336946858299 4
"KRT5" "KRT5" 0.195385132517813 2
"RP11-473M20.16" "RP11-473M20.16" 0.198922691195261 3
"RP11-254F7.2" "RP11-254F7.2" 0.203606733087778 3
"SERPINA1" "SERPINA1" 0.208116573815438 3
"ADGRF1" "ADGRF1" 0.212435457436086 2
"ZNF747" "ZNF747" 0.218037147811271 3
"PTAFR" "PTAFR" 0.22049751722394 3
"KRT16" "KRT16" 0.221184558330881 2
"MS4A15" "MS4A15" 0.222973718105081 4
"FBLIM1" "FBLIM1" 0.223261759659957 3
"CPA4" "CPA4" 0.230080699776023 2
"LINC00959" "LINC00959" 0.235592565457197 3
"ETV1" "ETV1" 0.239122205004883 2
"ANTXR2" "ANTXR2" 0.2407512806102 3
"C10orf10" "C10orf10" 0.243210188953514 1
"OLFML2B" "OLFML2B" 0.243354497650856 4
"DLGAP1" "DLGAP1" 0.248307406843431 2
"NOTUM" "NOTUM" 0.248307406843431 2
"RP11-401P9.4" "RP11-401P9.4" 0.262023110713095 3
"CTD-2538C1.2" "CTD-2538C1.2" 0.262351017322118 3
"PAEP" "PAEP" 0.263101179681464 1
"GPR87" "GPR87" 0.263101179681464 1
"RAET1E" "RAET1E" 0.267102279426104 2
"FBXO32" "FBXO32" 0.270891549808492 4
"CTC-512J14.5" "CTC-512J14.5" 0.272942099495555 4
