"","x"
"317","VDAC1"
"318","CEP162"
"319","AP1G2"
"320","NLGN3"
"321","TRIM45"
"322","CDH24"
"323","HLA-DMB"
"324","KLHL21"
"325","CD37"
"326","RPS23"
"327","RPL18A"
"328","LRRC75A-AS1"
"329","RASSF8-AS1"
"330","MXD4"
"331","AHNAK"
"332","ACP2"
"333","QRICH2"
"334","CTHRC1"
"335","SMO"
"336","DUSP7"
"337","MPI"
"338","RPL19"
"339","DZANK1"
"340","WDR6"
"341","AC019117.2"
"342","AASS"
"343","ITM2B"
"344","RPL23"
"345","APBB3"
"346","TFDP2"
"347","CCDC24"
"348","EEF1B2P3"
"349","EIF4A1P10"
"350","FAM76B"
"351","RPL11"
"352","ZNF513"
"353","ADSSL1"
"354","ATP2B4"
"355","ZPR1"
"356","FAM111A"
"357","TNXB"
"358","SLC29A4"
"359","CDC42EP2"
"360","PRR36"
"361","RP11-1038A11.1"
"362","TOX"
"363","SPEG"
"364","RPS4X"
"365","AC240274.1"
"366","HGSNAT"
"367","FAM207A"
"368","SZT2"
"369","MLX"
"370","RPS15"
"371","PHF1"
"372","RPL7P1"
"373","GAS8"
"374","CRKL"
"375","FSCN1"
"376","ST6GALNAC4"
"377","MTA2"
"378","CCS"
"379","ZNF461"
"380","RAD21"
"381","ANKRD27"
"382","TXN"
"383","BMPER"
"384","CAPN3"
"385","CCDC159"
"386","SLC4A8"
"387","GIGYF1"
"388","STX16-NPEPL1"
"389","CALCOCO1"
"390","GBE1"
"391","FRMPD1"
"392","RASGRF1"
"393","TMEM175"
"394","DDX5"
"395","GLDN"
"396","NCAPD2"
"397","CDRT4"
"398","CYCSP34"
"399","DDHD1"
"400","COLQ"
"401","ZKSCAN3"
"402","PRSS27"
"403","USP40"
"404","ZFP90"
"405","PIGQ"
"406","KMT2B"
"407","TTLL3"
"408","MAPK8IP3"
"409","NRBP2"
"410","MIR4324"
"411","RAB3A"
"412","ATG16L2"
"413","NTF3"
"414","NLGN2"
"415","ENTHD2"
"416","CHD6"
"417","FHL2"
"418","MOK"
"419","KIF16B"
"420","GRK5"
"421","CBFA2T2"
"422","VDAC2"
"423","GALNT6"
"424","RFXANK"
"425","ZSCAN30"
"426","LUC7L"
"427","CDKN2A"
"428","MAU2"
"429","SCNN1D"
"430","HOXA2"
"431","CCDC146"
"432","RP5-937E21.8"
"433","MDGA1"
"434","AP4M1"
"435","CCDC191"
"436","ZNF738"
"437","RP11-36C20.1"
"438","EFHC1"
"439","TRHDE"
"440","CCDC180"
"441","OFD1"
"442","AC083843.4"
"443","BAIAP3"
"444","PRKCG"
"445","TBC1D26"
"446","PHF21A"
"447","RANBP17"
"448","SGTA"
"449","CCDC114"
"450","ACACB"
"451","RP11-585P4.6"
"452","PAQR6"
"453","SLC38A7"
"454","LY6G5C"
"455","RECK"
"456","GATA6-AS1"
"457","PEAK1"
"458","SEPT6"
"459","PIGH"
