"","x"
"290","MRPL57"
"291","AC093323.3"
"292","BCL2L12"
"293","PRR14L"
"294","CYTH3"
"295","RP5-1125A11.7"
"296","CTC-435M10.12"
"297","RP11-367H1.1"
"298","RP11-796E2.4"
"299","C18orf32"
"300","SRRM2-AS1"
"301","RP11-435I10.3"
"302","CTD-2622I13.3"
"303","SLC25A42"
"304","AC104667.3"
"305","MIR23B"
"306","RASSF1"
"307","RP6-99M1.1"
"308","AKAP8L"
"309","ZNF776"
"310","LINC01060"
"311","SOGA1"
"312","RP11-431K24.2"
"313","TMEM147-AS1"
"314","C14orf142"
"315","ATP11A"
"316","RP11-731C17.2"
"317","C19orf53"
"318","SNRPA"
"319","GPR3"
"320","RBM26-AS1"
"321","WDR31"
"322","AC006946.17"
"323","RP11-464F9.20"
"324","CTD-2104P17.1"
"325","NKAPP1"
"326","MORF4L2"
"327","ARHGEF11"
"328","TPTE2P1"
"329","RP11-660L16.2"
"330","KMT2A"
"331","CCBL2"
"332","TMEM18"
"333","GALNS"
"334","PIM2"
"335","SFR1"
"336","CTD-2619J13.14"
"337","EMX1"
"338","RP1-118J21.25"
"339","ELMOD3"
"340","PSMG3-AS1"
"341","FERMT1"
"342","AF146191.4"
"343","LINC01481"
"344","RP3-449O17.1"
"345","SYNRG"
"346","RP1-34B20.21"
"347","IER2"
"348","LBX2-AS1"
"349","LA16c-325D7.1"
"350","PDDC1"
"351","KCNC4"
"352","GEMIN8"
"353","RP11-167N5.5"
"354","ACTR5"
"355","RP11-1277A3.2"
"356","PARP11"
"357","SPATA2L"
"358","FLJ20021"
"359","PHOSPHO2"
"360","TRAK2"
"361","STK32C"
"362","SLC16A13"
"363","MCM9"
"364","NUTM2A-AS1"
"365","VPS37A"
"366","MAP4K3"
"367","PADI3"
"368","PLEKHA8P1"
"369","RNF165"
"370","ZNF236"
"371","PXN-AS1"
"372","FOXD2-AS1"
"373","KIAA1586"
"374","MEFV"
"375","LINC00909"
"376","CYSRT1"
"377","RP11-142E9.1"
"378","KLF3-AS1"
"379","TMEM120B"
"380","RNU4-39P"
"381","PSMG2"
"382","RP3-508I15.21"
"383","USP6"
"384","PYGO2"
"385","STX1B"
"386","AKAP9"
"387","LINC01089"
"388","RP11-10A14.4"
"389","CTD-2201E18.3"
"390","HMGN3-AS1"
"391","ECH1"
"392","RP11-147L13.2"
"393","KIAA0319L"
"394","CTA-363E6.3"
"395","RP11-285A1.1"
"396","EID1"
"397","CTB-175E5.7"
"398","RP11-1017G21.6"
"399","CTD-2194D22.3"
"400","MIER3"
"401","RPARP-AS1"
"402","TTC37"
"403","PRKAB2"
"404","PSMC1P7"
"405","CDHR2"
"406","SHH"
"407","HINFP"
"408","MARCH5"
"409","TMEM55B"
"410","CLIP1"
"411","ATP8B2"
"412","RP3-395M20.12"
"413","ATXN7L3B"
"414","L3MBTL2"
"415","RP11-159N11.4"
"416","IPO5P1"
"417","RP11-16E12.2"
"418","S1PR4"
"419","ATRX"
"420","CEP89"
"421","PIGC"
"422","PCDHB13"
"423","KIF1B"
"424","RIBC2"
"425","AC010504.2"
"426","RP11-392P7.6"
"427","CHN2"
"428","BICD1"
"429","OTUD6B-AS1"
"430","LINC01315"
"431","TINF2"
"432","CTD-2528L19.6"
"433","AC064850.4"
"434","TMEM145"
"435","KCNIP2"
"436","PSMG4"
"437","CTA-941F9.10"
"438","TRAPPC4"
"439","RP11-523H20.3"
"440","BIRC6"
"441","RP3-425C14.5"
"442","ZNF843"
"443","RP5-1112D6.4"
"444","RP11-164P12.3"
"445","MIR193BHG"
"446","TTLL13P"
"447","HOXA13"
"448","CFL2"
"449","CEP295"
"450","AC129492.6"
"451","IQCG"
"452","ZDHHC16"
"453","SCN3B"
"454","RNVU1-3"
"455","DANCR"
"456","RP11-221N13.3"
"457","ARAP2"
"458","GRINA"
"459","CAMKK1"
"460","OBSL1"
"461","RBM4"
"462","KB-1836B5.4"
"463","DENND5B-AS1"
"464","RP11-752G15.8"
"465","RP11-480A16.1"
"466","CTD-2026D20.3"
"467","TOB1-AS1"
"468","ZNF169"
"469","CALM2P2"
"470","PDE1B"
"471","C8orf44"
"472","CRYBB2"
"473","RP11-84G21.1"
"474","DKFZP434I0714"
"475","GRIP1"
"476","RP11-484L8.1"
"477","LYG2"
"478","TRIO"
"479","AURKAPS1"
"480","AP001258.4"
"481","CTD-2129N1.1"
"482","RP4-758J24.6"
"483","MLF2"
"484","RP11-649A18.3"
"485","PRDM2"
"486","TTC19"
"487","ALPK3"
"488","PIK3IP1"
"489","C1orf132"
"490","CPEB1"
"491","AC007255.8"
"492","OR2A7"
"493","RP11-133N21.7"
"494","HCN3"
"495","RP11-353N14.4"
"496","RP11-770J1.4"
"497","AKAP17A"
"498","PANK4"
"499","RP11-33O4.2"
"500","RP6-114E22.1"
"501","AC009237.11"
"502","ARFIP2"
"503","AL022393.9"
"504","RP11-214N9.1"
"505","DPM3"
"506","SSTR2"
"507","ZFYVE27"
"508","AC007191.4"
"509","RFC2"
"510","RP11-252A24.2"
"511","SEPSECS-AS1"
"512","SLC6A12"
"513","NCOA1"
"514","ACSBG2"
"515","LANCL1"
"516","RP13-131K19.2"
"517","EP300"
"518","GHDC"
"519","AP5B1"
"520","RP1-167A14.2"
"521","KB-226F1.2"
"522","MIR6835"
"523","RP11-734K2.4"
"524","MIR5689HG"
"525","C6orf226"
"526","SPCS1"
"527","RP11-108P20.2"
"528","CTD-2201E18.5"
"529","MX1"
"530","RP11-7F17.8"
"531","FAM120B"
"532","RP11-468E2.10"
"533","AP1AR"
"534","RBM27"
"535","AC106875.1"
"536","TFB1M"
"537","RP11-575F12.3"
"538","NPFFR1"
"539","RP11-214K3.18"
"540","RP11-46F15.2"
"541","SEC14L2"
"542","FGF3"
"543","NUTM2B-AS1"
"544","RP11-15H20.6"
"545","RP11-738B7.1"
"546","RP11-173M1.5"
"547","FLVCR1-AS1"
"548","TMEM115"
"549","SENP2"
"550","GLRX"
"551","RBM4B"
"552","CTC-529P8.1"
"553","ZSCAN29"
"554","LINC00649"
"555","CTC-329D1.2"
"556","TPGS2"
"557","RNU4ATAC18P"
"558","RP11-353N4.6"
"559","LINC00659"
"560","ZNF791"
"561","RP6-99M1.3"
"562","ST3GAL4-AS1"
"563","ANXA4"
"564","FTH1P3"
"565","UBAC1"
"566","SPHK1"
"567","RP3-465N24.5"
"568","ARHGAP32"
"569","ORMDL3"
"570","NEAT1"
"571","RCHY1"
"572","ZNF506"
"573","CHI3L1"
"574","RP11-773H22.4"
"575","SGCB"
"576","RP11-163E9.1"
"577","MRFAP1L1"
"578","EP400NL"
"579","CH17-472G23.2"
"580","CCDC13"
"581","AC010226.4"
"582","RP5-827C21.6"
"583","CHAD"
"584","RP5-1056L3.3"
"585","NRM"
"586","RP11-455O6.9"
"587","OSMR-AS1"
"588","DEGS1"
"589","ZNF302"
"590","RNASEH1-AS1"
"591","CLEC16A"
"592","NAT6"
"593","HOMEZ"
"594","FBXO3"
"595","SLC25A21-AS1"
"596","RP11-191L17.1"
"597","TMEM158"
"598","DAGLA"
"599","AC241585.2"
"600","AFAP1L2"
"601","SPDYE3"
"602","FRMD6-AS1"
"603","TMEM14B"
"604","RP4-798A10.7"
"605","C15orf65"
"606","TMEM251"
"607","AC092415.1"
"608","RP11-442N24__B.1"
"609","RP11-87H9.4"
"610","RP11-295D4.4"
"611","RP11-216L13.21"
"612","CHD2"
"613","RP4-539M6.22"
"614","PPP6R3"
"615","MAN1B1-AS1"
"616","UBR5"
"617","FOXA1"
"618","SEMA6A-AS1"
"619","ATF4"
"620","RP11-495P10.10"
"621","RP11-15E1.5"
"622","CTD-3193O13.1"
"623","RP5-901A4.1"
"624","RP11-440L14.1"
"625","HYMAI"
"626","RP11-560J1.2"
"627","MIPEPP3"
"628","NAT16"
"629","C2CD3"
"630","C21orf62-AS1"
"631","CTD-2336O2.1"
"632","LRIF1"
"633","RP11-73K9.2"
"634","BTNL9"
"635","UPF3AP3"
"636","PTDSS2"
"637","PTRH1"
"638","CTA-215D11.4"
"639","ST20-AS1"
"640","CENPM"
"641","ABHD14A"
"642","SRPK3"
"643","ZNF37A"
"644","IFITM4P"
"645","RP11-355O1.11"
"646","RP11-1020A11.1"
"647","H1FX"
"648","RP4-591C20.9"
"649","CTD-2260A17.2"
"650","RP11-15B17.4"
"651","TRMT112"
"652","APOD"
"653","DNAJC24"
"654","MIR4477B"
"655","RP11-4B16.4"
"656","AC005237.4"
"657","RP11-219B4.3"
"658","CLN5"
"659","HAAO"
"660","CCR7"
"661","RP11-21L23.3"
"662","AC092171.2"
"663","RP11-219A15.5"
"664","RPUSD3"
"665","AC131056.3"
"666","FIGNL2"
"667","EBF2"
"668","RP11-195C7.1"
"669","ARSK"
"670","RP11-699L21.1"
"671","CTD-2540F13.2"
"672","C17orf82"
"673","SPATA5L1"
"674","RNA5SP283"
"675","RP11-10J18.3"
"676","TRIM10"
"677","AC004980.7"
"678","RP1-80N2.3"
"679","XXbac-BPG181B23.7"
"680","FBXO17"
"681","HOXA11-AS"
"682","ABL1"
"683","CD4"
"684","LIMD1-AS1"
"685","MYO9A"
"686","RP11-1094M14.11"
"687","CH507-528H12.1"
"688","EPG5"
"689","LATS1"
"690","MIR31"
"691","RP11-111M22.5"
"692","SMC5-AS1"
"693","CTD-2267D19.3"
"694","KCNH6"
"695","RP11-1275H24.3"
