"Name"	"Score"	"freq_dw"
"CCNB3"	"CCNB3"	0.111418145894952	1
"DDN"	"DDN"	0.113795109879492	1
"Z83844.1"	"Z83844.1"	0.115314877038718	1
"EXTL3"	"EXTL3"	0.115314877038718	1
"WDR3"	"WDR3"	0.115314877038718	2
"RP11-611O2.1"	"RP11-611O2.1"	0.116865878930707	1
"NPM1P6"	"NPM1P6"	0.118890589434809	1
"GPRC5B"	"GPRC5B"	0.1196900306753	2
"HRK"	"HRK"	0.1196900306753	1
"IFIH1"	"IFIH1"	0.119840043106271	1
"TGFB2"	"TGFB2"	0.121574844160763	1
"CTD-3035K23.3"	"CTD-3035K23.3"	0.122708827577174	1
"MYH10"	"MYH10"	0.124060758259011	1
"SPCS2P4"	"SPCS2P4"	0.124060758259011	3
"PARD3B"	"PARD3B"	0.124060758259011	1
"NT5E"	"NT5E"	0.124638325306769	2
"IL1RAPL1"	"IL1RAPL1"	0.128427062029756	1
"CCDC47"	"CCDC47"	0.128427062029756	1
"NR2F2"	"NR2F2"	0.128427062029756	1
"ZNRF2P1"	"ZNRF2P1"	0.130507903067387	3
"HSPA8P1"	"HSPA8P1"	0.131368883839387	1
"AC078899.1"	"AC078899.1"	0.131497943822871	2
"LINC00861"	"LINC00861"	0.13278894422744	2
"PRRG1"	"PRRG1"	0.13278894422744	2
"RP5-894A10.6"	"RP5-894A10.6"	0.13278894422744	1
"DPP4"	"DPP4"	0.13549159342903	1
"ZNF488"	"ZNF488"	0.137146407091969	1
"SMIM12"	"SMIM12"	0.137146407091969	1
"STS"	"STS"	0.137146407091969	2
"ABALON"	"ABALON"	0.138521866112387	2
"IL20RA"	"IL20RA"	0.140558664265436	2
"HIST2H3D"	"HIST2H3D"	0.141499452863248	2
"CAB39"	"CAB39"	0.141499452863248	1
"RP11-326C3.16"	"RP11-326C3.16"	0.141499452863248	1
"TNFSF18"	"TNFSF18"	0.141582034811773	1
"ITPR1"	"ITPR1"	0.144671978572301	3
"NUFIP1P"	"NUFIP1P"	0.145226873298621	2
"AC026954.6"	"AC026954.6"	0.145848083781182	1
"SLC25A48"	"SLC25A48"	0.145848083781182	1
"ZNF350"	"ZNF350"	0.145848083781182	1
"C8orf33"	"C8orf33"	0.150192302085676	2
"TCN1"	"TCN1"	0.150192302085676	1
"TCAF1P1"	"TCAF1P1"	0.154364426972761	1
"PRUNE2"	"PRUNE2"	0.154532110016637	1
"PUSL1"	"PUSL1"	0.154532110016637	1
"FXYD3"	"FXYD3"	0.154532110016637	1
"RP11-284M14.1"	"RP11-284M14.1"	0.15732708512812	1
"RP11-472B18.1"	"RP11-472B18.1"	0.158867509813968	2
"ENO1-IT1"	"ENO1-IT1"	0.158867509813968	1
"SLC8A2"	"SLC8A2"	0.158867509813968	1
"RP11-362K14.5"	"RP11-362K14.5"	0.16056408987107	2
"RP11-417L19.6"	"RP11-417L19.6"	0.161649552832206	1
"NIPA2"	"NIPA2"	0.163198503717576	1
"CHRNB4"	"CHRNB4"	0.163198503717576	1
"BOLA3-AS1"	"BOLA3-AS1"	0.167525093967365	1
"CD2AP"	"CD2AP"	0.167525093967365	1
"RP11-115D19.3"	"RP11-115D19.3"	0.170448916271329	1
"LCMT1-AS1"	"LCMT1-AS1"	0.171847282803242	1
"TRIM16"	"TRIM16"	0.171847282803242	1
"SLC39A5"	"SLC39A5"	0.171847282803242	1
"RP5-1142J19.2"	"RP5-1142J19.2"	0.17268072057973	2
"RIMBP3"	"RIMBP3"	0.176165072465111	3
"TOMM20"	"TOMM20"	0.176165072465111	1
"AMOTL2"	"AMOTL2"	0.176165072465111	1
"RP11-379F4.7"	"RP11-379F4.7"	0.177158589926937	1
"RP11-745A24.1"	"RP11-745A24.1"	0.177182434465482	2
"SDHDP6"	"SDHDP6"	0.180478465192877	2
"LRAT"	"LRAT"	0.180478465192877	1
"ELFN1"	"ELFN1"	0.180478465192877	1
"BCLAF1P2"	"BCLAF1P2"	0.184029730889215	2
"PLCXD2"	"PLCXD2"	0.184787463226447	2
"POLRMTP1"	"POLRMTP1"	0.184787463226447	2
"ELMOD1"	"ELMOD1"	0.184787463226447	1
"RP11-93B14.10"	"RP11-93B14.10"	0.185181940788363	1
"SLC40A1"	"SLC40A1"	0.186164971760213	1
"RP11-329A14.1"	"RP11-329A14.1"	0.193392284170615	1
"EIF4A1P10"	"EIF4A1P10"	0.193392284170615	1
"PPARGC1B"	"PPARGC1B"	0.193392284170615	1
"RP11-532M24.1"	"RP11-532M24.1"	0.196875403734764	1
"ACTBP7"	"ACTBP7"	0.197688111561025	2
"EPT1"	"EPT1"	0.197688111561025	2
"CTD-2515A14.1"	"CTD-2515A14.1"	0.197688111561025	1
"AC004237.1"	"AC004237.1"	0.201979553216859	1
"RPL41P1"	"RPL41P1"	0.201979553216859	2
"OCLN"	"OCLN"	0.201979553216859	1
"DKK1"	"DKK1"	0.20508321266417	1
"RP11-326C3.2"	"RP11-326C3.2"	0.206266611378022	1
"PHB"	"PHB"	0.206266611378022	3
"KIAA1462"	"KIAA1462"	0.206266611378022	2
"NOP56P3"	"NOP56P3"	0.207663359951674	1
"PDE3B"	"PDE3B"	0.208877301640869	1
