"Name"	"Score"	"freq_dw"
"S100P"	"S100P"	0.0419979184455767	1
"RP11-93M12.1"	"RP11-93M12.1"	0.0419979184455767	3
"RINL"	"RINL"	0.0427006880596969	1
"LSAMP"	"LSAMP"	0.0441285688721162	2
"LINC00326"	"LINC00326"	0.0444902160568113	2
"MIOX"	"MIOX"	0.0461755626398253	3
"SNHG4"	"SNHG4"	0.0461755626398253	2
"CTD-2636A23.2"	"CTD-2636A23.2"	0.0461755626398253	1
"FOXO1"	"FOXO1"	0.0461755626398253	3
"HS6ST2"	"HS6ST2"	0.0470745569342844	1
"UOX"	"UOX"	0.0470745569342844	1
"PHLDB2"	"PHLDB2"	0.0474513384262438	1
"STMN1P1"	"STMN1P1"	0.0478300287314114	2
"HMGN2P41"	"HMGN2P41"	0.0484829946952681	2
"SNORD17"	"SNORD17"	0.0493639530584811	1
"MKX"	"MKX"	0.0497522435863419	1
"LINC00640"	"LINC00640"	0.0513247548641047	1
"NUFIP1P"	"NUFIP1P"	0.0517227384329467	1
"MYO5A"	"MYO5A"	0.0527392872057038	3
"KLRC3"	"KLRC3"	0.0527392872057038	3
"ACAT1"	"ACAT1"	0.0527392872057038	4
"SYT13"	"SYT13"	0.0527584853778476	1
"CCDC102B"	"CCDC102B"	0.053334205817832	3
"TNFSF4"	"TNFSF4"	0.0541517104355688	1
"FAM135A"	"FAM135A"	0.0545156224824494	1
"DSG3"	"DSG3"	0.0545634181813883	3
"DSC3"	"DSC3"	0.055810406474797	3
"BLK"	"BLK"	0.055810406474797	3
"NFIA"	"NFIA"	0.0566516554711445	3
"TNFRSF11A"	"TNFRSF11A"	0.0572013059666079	3
"SUGCT"	"SUGCT"	0.0572013059666079	2
"SNORD39"	"SNORD39"	0.0583580983384192	2
"MYC"	"MYC"	0.0587897182776146	1
"GPR15"	"GPR15"	0.0588268283702212	1
"CRYBA1"	"CRYBA1"	0.0590249330408265	2
"ENO1-IT1"	"ENO1-IT1"	0.0590249330408265	3
"BHMG1"	"BHMG1"	0.0592233489713809	1
"C3"	"C3"	0.0592948360726546	1
"PLAT"	"PLAT"	0.0592948360726546	3
"SNORD94"	"SNORD94"	0.0592948360726546	1
"SMG1P3"	"SMG1P3"	0.0592948360726546	1
"PDE3B"	"PDE3B"	0.0600966566861314	1
"DPP4"	"DPP4"	0.060536340717701	1
"SOD1P3"	"SOD1P3"	0.0618675553948949	3
"DDN"	"DDN"	0.0632170868457445	3
"RP11-277P12.6"	"RP11-277P12.6"	0.0632170868457445	1
"SYTL5"	"SYTL5"	0.0636710171777998	1
"EML1"	"EML1"	0.0645850282272134	3
"RP11-687F6.5"	"RP11-687F6.5"	0.0646539296858044	1
"CPA4"	"CPA4"	0.0655072625804117	3
"COX7A1"	"COX7A1"	0.0656150224279771	1
"CXCL8"	"CXCL8"	0.0658422160325353	1
"DDX50P1"	"DDX50P1"	0.0658422160325353	1
"TRAP1"	"TRAP1"	0.0658422160325353	2
"TESC"	"TESC"	0.066906092332338	1
"LONRF2"	"LONRF2"	0.0707277530867787	3
"CCAT1"	"CCAT1"	0.0721954257692093	2
"SLC2A4"	"SLC2A4"	0.0723814338743809	1
"ZNF485"	"ZNF485"	0.0723814338743809	3
"RP11-35G9.5"	"RP11-35G9.5"	0.0723814338743809	1
"MYLK3"	"MYLK3"	0.0735373271235621	1
"MAP7D3"	"MAP7D3"	0.0736820824501409	1
"SYK"	"SYK"	0.0751878112572043	3
"NME1-NME2"	"NME1-NME2"	0.0755823240013513	2
"RP11-255G12.2"	"RP11-255G12.2"	0.075693974242966	3
"CTD-3076O17.2"	"CTD-3076O17.2"	0.0782568343311578	2
"RP11-840I19.3"	"RP11-840I19.3"	0.0786977299962897	1
"IGSF11"	"IGSF11"	0.0787758377544312	2
"SHANK2"	"SHANK2"	0.0789124963844041	1
"CTC-548K16.6"	"CTC-548K16.6"	0.0789124963844041	1
"PLCL2"	"PLCL2"	0.0789124963844041	1
"ABO"	"ABO"	0.0792969923979902	1
"LRRTM2"	"LRRTM2"	0.0797489251330225	1
"CTC-444N24.7"	"CTC-444N24.7"	0.0797489251330225	2
"GGT5"	"GGT5"	0.080873395231883	3
"CD33"	"CD33"	0.0819351443071559	1
"PRKACB"	"PRKACB"	0.0824692723861439	1
"VGF"	"VGF"	0.0840847081021008	1
"SLCO5A1"	"SLCO5A1"	0.0846275474825791	1
"KIRREL"	"KIRREL"	0.0854354103459956	3
"RP11-362K14.5"	"RP11-362K14.5"	0.0854354103459956	1
"RP11-295D4.5"	"RP11-295D4.5"	0.0862691911374981	1
"MYRIP"	"MYRIP"	0.0868207910629024	1
"RP4-814D15.2"	"RP4-814D15.2"	0.0879305872501409	1
"ILDR2"	"ILDR2"	0.0890491987461535	2
"NT5E"	"NT5E"	0.0896118177757747	1
"TMPRSS11E"	"TMPRSS11E"	0.0913129639838489	1
"ARL14EPL"	"ARL14EPL"	0.0917279560778014	4
"SCN3A"	"SCN3A"	0.0918844523748737	3
"RP11-87G24.3"	"RP11-87G24.3"	0.0919501825397235	1
"APOD"	"APOD"	0.0919501825397235	1
"CTC-329D1.2"	"CTC-329D1.2"	0.0919501825397235	1
"OR51M1"	"OR51M1"	0.0924581655465296	3
"AKAP12"	"AKAP12"	0.0936122780599804	1
"RP11-583F2.2"	"RP11-583F2.2"	0.095125994299485	3
"PRNCR1"	"PRNCR1"	0.095947330091016	1
"TNFSF18"	"TNFSF18"	0.0971283163458367	3
"SMC1B"	"SMC1B"	0.0974222222222222	1
"GSAP"	"GSAP"	0.0977221846901666	3
"FRZB"	"FRZB"	0.0984568197433337	3
"ACSBG2"	"ACSBG2"	0.0984568197433337	2
"RP1-102D24.5"	"RP1-102D24.5"	0.0984568197433337	1
"AC005076.5"	"AC005076.5"	0.0985795600724009	3
"OR51Q1"	"OR51Q1"	0.0995173251611475	1
"RNU7-75P"	"RNU7-75P"	0.100725393646052	1
"RP11-818F20.5"	"RP11-818F20.5"	0.101942535239615	2
"PCAT2"	"PCAT2"	0.103168772565368	2
"SNORA9"	"SNORA9"	0.103270117997173	3
"TAS2R18"	"TAS2R18"	0.103270117997173	1
"OGN"	"OGN"	0.104404128111373	1
"CNTNAP2"	"CNTNAP2"	0.104457997893761	1
"FIBCD1"	"FIBCD1"	0.10495532873175	1
"RP11-626H12.2"	"RP11-626H12.2"	0.10495532873175	1
"MYH15"	"MYH15"	0.108165126919458	2
"WFDC21P"	"WFDC21P"	0.108165126919458	2
"RP11-563E2.2"	"RP11-563E2.2"	0.110488228877085	2
"AC097721.2"	"AC097721.2"	0.110488228877085	1
"TOM1L2"	"TOM1L2"	0.111445716277073	1
"UNC13A"	"UNC13A"	0.112008986274875	3
"CDK6"	"CDK6"	0.112942481674394	2
"ZBTB20-AS1"	"ZBTB20-AS1"	0.113308787648859	1
"RP11-148O21.3"	"RP11-148O21.3"	0.113308787648859	1
"AC104389.28"	"AC104389.28"	0.114178593743775	2
"LINC00861"	"LINC00861"	0.114617882270658	3
"CASC19"	"CASC19"	0.115275921201288	2
"OR51A10P"	"OR51A10P"	0.115936291409099	1
"OR51I2"	"OR51I2"	0.116598995531527	1
"SH3PXD2A"	"SH3PXD2A"	0.117927989148583	1
"RP5-1142J19.2"	"RP5-1142J19.2"	0.117927989148583	1
"F5"	"F5"	0.117931416027646	1
"RP1-68D18.4"	"RP1-68D18.4"	0.119182662993094	1
"LHFP"	"LHFP"	0.119273203619799	1
"PFN1P4"	"PFN1P4"	0.119273203619799	3
"CA12"	"CA12"	0.121303493764418	1
"CA9"	"CA9"	0.121303493764418	2
"GAPDHP55"	"GAPDHP55"	0.121984963135467	1
"ARHGAP29"	"ARHGAP29"	0.124043525074429	3
"CTD-2371O3.2"	"CTD-2371O3.2"	0.124281543715486	1
"EVA1B"	"EVA1B"	0.124402154112736	2
"RP11-166B2.5"	"RP11-166B2.5"	0.124402154112736	2
"CLDN9"	"CLDN9"	0.124402154112736	1
"PLIN2"	"PLIN2"	0.124734438810356	1
"EPN2-AS1"	"EPN2-AS1"	0.124734438810356	1
"IGFBP5"	"IGFBP5"	0.127521793208763	1
"PRKG1-AS1"	"PRKG1-AS1"	0.128224569203038	2
"PACSIN1"	"PACSIN1"	0.128929725137947	1
"CTD-3149D2.2"	"CTD-3149D2.2"	0.129637263490056	2
"CTB-193M12.3"	"CTB-193M12.3"	0.130347186727464	3
"GPR161"	"GPR161"	0.130868217933166	1
"LINC00471"	"LINC00471"	0.130868217933166	3
"RGS2"	"RGS2"	0.133430397215737	3
"KCTD12"	"KCTD12"	0.133932661984748	1
"CSMD3"	"CSMD3"	0.134656945889872	3
"FAM83B"	"FAM83B"	0.134760644355238	2
"PLEKHG4"	"PLEKHG4"	0.136096672417394	1
"RP11-148B18.4"	"RP11-148B18.4"	0.136096672417394	1
"DIRC3"	"DIRC3"	0.136844218747724	1
"MIR210HG"	"MIR210HG"	0.137326187370685	3
"CLDN2"	"CLDN2"	0.137326187370685	3
"SNORA71A"	"SNORA71A"	0.137326187370685	1
"RP11-252A24.5"	"RP11-252A24.5"	0.137438469391919	2
"TSPAN5"	"TSPAN5"	0.137578124720824	3
"ITGBL1"	"ITGBL1"	0.13979432095105	1
"STEAP3-AS1"	"STEAP3-AS1"	0.140139322079279	3
"DKK1"	"DKK1"	0.140537886991531	1
"RP11-752G15.8"	"RP11-752G15.8"	0.141498353813879	1
"CYP24A1"	"CYP24A1"	0.143536383344912	2
"CCT7P2"	"CCT7P2"	0.143536383344912	3
"RIMS3"	"RIMS3"	0.143776069183285	1
"MRO"	"MRO"	0.143776069183285	2
"HSPA12B"	"HSPA12B"	0.143776069183285	1
"RP11-324O2.3"	"RP11-324O2.3"	0.144292077080761	2
"ADAM28"	"ADAM28"	0.145050203285834	3
"RP3-337H4.9"	"RP3-337H4.9"	0.145609726889758	2
"RP11-376N17.4"	"RP11-376N17.4"	0.145810764250425	1
"RP11-1299A16.3"	"RP11-1299A16.3"	0.146573762256359	2
"RIMS2"	"RIMS2"	0.148107078477236	1
"ACSL5"	"ACSL5"	0.149650170033742	1
"XXyac-YX65C7_A.2"	"XXyac-YX65C7_A.2"	0.149772265713516	1
"ACTN4"	"ACTN4"	0.150217870126131	1
"RP11-598P20.3"	"RP11-598P20.3"	0.150217870126131	1
"MECOM"	"MECOM"	0.150425387177463	1
"RP11-429D19.1"	"RP11-429D19.1"	0.151171093108825	1
"HEY2"	"HEY2"	0.151203054875686	2
"RP11-338K17.5"	"RP11-338K17.5"	0.152575557862191	2
"FGF14"	"FGF14"	0.152765750817406	2
"SCN9A"	"SCN9A"	0.153550783480619	2
"LINC01468"	"LINC01468"	0.154338275537769	1
"HNF1B"	"HNF1B"	0.155128229177545	3
"CSRNP3"	"CSRNP3"	0.155920646580172	1
"PCDHAC1"	"PCDHAC1"	0.156651596951569	2
"PCNPP1"	"PCNPP1"	0.156651596951569	3
"LRRC8E"	"LRRC8E"	0.156651596951569	3
"ZNF595"	"ZNF595"	0.156715529917408	1
"BMP5"	"BMP5"	0.157512881352542	4
"AL162151.3"	"AL162151.3"	0.158249552409606	1
"RP11-74C1.2"	"RP11-74C1.2"	0.1583127030404	1
"CAPN6"	"CAPN6"	0.1583127030404	3
"CTC-425O23.2"	"CTC-425O23.2"	0.159682025492376	3
"PDK1"	"PDK1"	0.163077256409122	1
"SLC25A21"	"SLC25A21"	0.163077256409122	3
"FOSB"	"FOSB"	0.164012793515459	1
"RP4-785G19.5"	"RP4-785G19.5"	0.165467459616701	4
"RPS20P4"	"RPS20P4"	0.165622610958435	1
"RP4-530I15.9"	"RP4-530I15.9"	0.168393335951928	1
"LRP1"	"LRP1"	0.169494855245491	3
"RP11-798M19.3"	"RP11-798M19.3"	0.169494855245491	3
"AURKAPS1"	"AURKAPS1"	0.169494855245491	3
"RP1-167A14.2"	"RP1-167A14.2"	0.169864522546354	1
"RP11-49K24.8"	"RP11-49K24.8"	0.169864522546354	1
"CTD-3193O13.1"	"CTD-3193O13.1"	0.172823333553438	4
"EGR1"	"EGR1"	0.172823333553438	2
"CLIP2"	"CLIP2"	0.175904400204554	3
"CTD-2184D3.5"	"CTD-2184D3.5"	0.175904400204554	2
"MAML3"	"MAML3"	0.175904400204554	1
"AC003104.1"	"AC003104.1"	0.177302467757465	1
"CERKL"	"CERKL"	0.181830420687303	1
"TBXA2R"	"TBXA2R"	0.182305898027367	2
"ANKRD20A4"	"ANKRD20A4"	0.182305898027367	3
"AC127904.2"	"AC127904.2"	0.183350532093445	1
"PRKG1"	"PRKG1"	0.184876020822502	3
"LASP1"	"LASP1"	0.188699355452165	3
"AC156455.1"	"AC156455.1"	0.188699355452165	1
"FASN"	"FASN"	0.188699355452165	1
"KLF9"	"KLF9"	0.195084779214357	1
"CSMD2"	"CSMD2"	0.195084779214357	1
"GEMIN4"	"GEMIN4"	0.195084779214357	1
"SCARA3"	"SCARA3"	0.201462176046534	2
"RP11-17G12.2"	"RP11-17G12.2"	0.201462176046534	2
"FAM198A"	"FAM198A"	0.201462176046534	1
"KCTD9P2"	"KCTD9P2"	0.205191388546191	3
"VASN"	"VASN"	0.207831552678463	3
"PRC1-AS1"	"PRC1-AS1"	0.207831552678463	3
"LINC00431"	"LINC00431"	0.207831552678463	1
"ITPR1"	"ITPR1"	0.207831552678463	1
"RNU6-282P"	"RNU6-282P"	0.208395679420461	1
"IL1RAPL1"	"IL1RAPL1"	0.208395679420461	1
"SH3GL3"	"SH3GL3"	0.21000561682587	3
"CTD-2104P17.1"	"CTD-2104P17.1"	0.21324101763854	2
"CTNNBIP1"	"CTNNBIP1"	0.214192915837087	1
"RP11-151N17.1"	"RP11-151N17.1"	0.214192915837087	1
"INSIG1"	"INSIG1"	0.214192915837087	1
"FAM157B"	"FAM157B"	0.216497042639527	3
"RET"	"RET"	0.22054627224653	1
"RP11-417L19.6"	"RP11-417L19.6"	0.22054627224653	1
"RP3-425C14.5"	"RP3-425C14.5"	0.22054627224653	2
"ECE2"	"ECE2"	0.22054627224653	3
"ECEL1P2"	"ECEL1P2"	0.226891628628091	3
"EYA4"	"EYA4"	0.226891628628091	1
"RP11-488P3.1"	"RP11-488P3.1"	0.226891628628091	1
"RP13-766D20.1"	"RP13-766D20.1"	0.227474152166797	2
"AC006277.2"	"AC006277.2"	0.228054211979576	2
"FOS"	"FOS"	0.229725537389787	3
"OR51B8P"	"OR51B8P"	0.233083299165083	1
"TGFB1I1"	"TGFB1I1"	0.233228991700248	1
"RP11-1000B6.5"	"RP11-1000B6.5"	0.233228991700248	3
"RP1-118J21.25"	"RP1-118J21.25"	0.233228991700248	1
"RP1-292B18.1"	"RP1-292B18.1"	0.234769712584895	1
"FAM222A-AS1"	"FAM222A-AS1"	0.234769712584895	1
"RP11-214N15.5"	"RP11-214N15.5"	0.238157547189164	1
"C15orf52"	"C15orf52"	0.239558368178656	1
"RP3-395M20.12"	"RP3-395M20.12"	0.239558368178656	1
"ZNF724P"	"ZNF724P"	0.239558368178656	1
"NLRX1"	"NLRX1"	0.245879764776148	1
"RPSAP52"	"RPSAP52"	0.245879764776148	1
"GEM"	"GEM"	0.245879764776148	1
"NTRK1"	"NTRK1"	0.246714145184375	3
"RP11-983P16.2"	"RP11-983P16.2"	0.246714145184375	1
"GCK"	"GCK"	0.24844028968016	1
"C15orf59"	"C15orf59"	0.24844028968016	1
"SYPL2"	"SYPL2"	0.25190731238006	3
"ADIRF-AS1"	"ADIRF-AS1"	0.252193188202736	3
"RP11-442N24__B.1"	"RP11-442N24__B.1"	0.252193188202736	1
"RNU6-850P"	"RNU6-850P"	0.252193188202736	1
"RP11-4K16.2"	"RP11-4K16.2"	0.253648167825174	3
"RP11-295D4.4"	"RP11-295D4.4"	0.257144510071727	2
"RP11-383G6.3"	"RP11-383G6.3"	0.258498645165607	3
"STXBP5L"	"STXBP5L"	0.258899974164965	3
"CTC-559E9.5"	"CTC-559E9.5"	0.260660285113488	1
"DSG4"	"DSG4"	0.262425431584364	3
"RP11-810P12.7"	"RP11-810P12.7"	0.264796142369128	1
"SNHG25"	"SNHG25"	0.264796142369128	2
"ATP5HP4"	"ATP5HP4"	0.265970185803776	1
"ZNRF2P1"	"ZNRF2P1"	0.269534146329073	1
"UCP2"	"UCP2"	0.271085686514842	1
"TAS2R15P"	"TAS2R15P"	0.271085686514842	3
"RP11-211N8.2"	"RP11-211N8.2"	0.271085686514842	2
"ZNF154"	"ZNF154"	0.271085686514842	1
"ACSM3"	"ACSM3"	0.271323300714057	3
"OSR1"	"OSR1"	0.277367284301472	2
"C1orf61"	"C1orf61"	0.277367284301472	3
"SLC25A15"	"SLC25A15"	0.277367284301472	1
"SLC44A3"	"SLC44A3"	0.283640942424917	2
"TNK2-AS1"	"TNK2-AS1"	0.283640942424917	1
"RP4-814D15.1"	"RP4-814D15.1"	0.287638885732335	1
